field	category	type_or_unit	definition	interpretation_or_caution
domain_annotated_negative_species	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited species assessed for domain evidence but not supporting the required criterion.	These are true assessed negatives and must remain separate from unavailable species.
domain_unavailable_species	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited target-present species without assessable domain evidence.	Missing/unavailable evidence; do not count as negative support.
expression_supported_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of expression-assessed species with at least one uniquely mapped candidate member classified as broadly expressed.	Numerator for expression_species_fraction.
expression_available_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of target-present species with any candidate-linked expression availability before unique-mapping assessment.	Availability is broader than assessability and can include ambiguous mappings.
expression_assessed_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of target-present species with at least one uniquely mapped expression row yielding BROAD or LIMITED evidence.	Denominator for expression_species_fraction; unavailable species are excluded rather than scored zero.
expression_unavailable_species_count	4. Pre-structure species, domain and expression evidence	Integer count	Number of target-present species with no uniquely mapped assessable expression conclusion.	Missing evidence count; not a count of low-expression species.
expression_evidence_coverage_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	expression_assessed_species_count divided by target_species_count.	Measures expression evidence completeness, while expression_species_fraction measures support among assessed species.
expression_supported_species	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited expression-assessed species supporting broad expression.	A species is supported if any uniquely mapped candidate member passes the broad-expression rule.
expression_assessed_negative_species	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited expression-assessed species classified as LIMITED rather than BROAD.	True assessed negatives under the configured rule; distinct from unavailable species.
expression_unavailable_species	4. Pre-structure species, domain and expression evidence	Semicolon-delimited text list	Semicolon-delimited target-present species without a uniquely mapped assessable expression conclusion.	Never interpret these species as zero expression.
reviewed_seed_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of matched known E3 seed identifiers that are reviewed in the source annotation.	Discovery support feature; reviewed status does not validate the new candidate experimentally.
ubiquitin_go_positive_seed_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of matched seed identifiers with positive ubiquitin-system GO support.	Discovery evidence fraction derived from seed annotations.
exclusion_flag_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of matched seed identifiers carrying configured exclusion-associated GO annotations.	Higher values weaken discovery support; inspect the exact seed records for interpretation.
discovery_score	7. Discovery provenance and cluster composition	Fraction/score (0-1)	Normalized component score summarising discovery-cluster seed support and exclusion evidence.	One component of prestructure_score; not an independent experimental confidence.
orthology_score	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Normalized component score for target and mandatory species representation in the orthology group.	Weighted at 0.35 in prestructure_score under the final profile.
domain_score	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Normalized component score for required-domain support across domain-assessed species.	Weighted at 0.20 in prestructure_score; missing coverage is recorded separately.
expression_score	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Normalized component score derived from expression_species_fraction when expression evidence is assessable.	Missing expression is retained explicitly; no assessed evidence does not constitute a stringent expression pass.
evidence_completeness_fraction	4. Pre-structure species, domain and expression evidence	Fraction/score (0-1)	Fraction of the major evidence dimensions with sufficient assessable data for the record.	A completeness measure, not a biological support score.
grant_aligned_criteria_status	4. Pre-structure species, domain and expression evidence	Categorical status	Categorical summary of the configured pre-structure grant-aligned criteria.	Read with explicit inclusion, exclusion and missing-evidence fields.
grant_aligned_stringent_pass	4. Pre-structure species, domain and expression evidence	Boolean	Boolean indicating that all configured stringent pre-structure criteria pass.	Precedes structural assessment; not equivalent to grant_aligned_final_pass.
computational_structure_selected	4. Pre-structure species, domain and expression evidence	Boolean	Boolean indicating that the evolutionary group fell within the configured top-200 distinct groups selected for structural analysis.	Selection for computation is not a structural pass or experimental recommendation.
discovery_representative_source_file_sample_id	7. Discovery provenance and cluster composition	Identifier/text	Sample identifier parsed from the discovery representative's source file.	Source-file provenance; it may differ from the normalized representative_sample_id.
discovery_representative_source_file_species	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Species label parsed from the discovery representative's source file.	Retained to audit source naming against normalized species.
discovery_representative_sample_id	7. Discovery provenance and cluster composition	Identifier/text	Normalized sample identifier for the discovery-cluster representative sequence.	Use with representative_species and representative_source_path for provenance.
discovery_representative_species	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Normalized species assigned to the discovery-cluster representative sequence.	Representative origin does not imply that the whole cluster is species-specific.
discovery_representative_taxon_id	7. Discovery provenance and cluster composition	Identifier/text	Taxonomic identifier associated with the representative sequence where available.	Blank values mean the source did not provide a resolved taxon identifier.
discovery_representative_proteome_id	7. Discovery provenance and cluster composition	Identifier/text	Named proteome identifier associated with the representative sequence where available.	Blank for 1KP or other sources without a named proteome identifier.
discovery_representative_onekp_sample_code	7. Discovery provenance and cluster composition	Text	1KP sample code associated with the representative sequence where applicable.	Specific to 1KP provenance; blank for named-proteome representatives.
discovery_representative_original_id	7. Discovery provenance and cluster composition	Identifier/text	Original unmodified identifier of the representative sequence in the source data.	Preserves traceability when normalized identifiers differ.
discovery_representative_entry	7. Discovery provenance and cluster composition	Text	Parsed database entry/accession for the representative sequence where one can be extracted.	May be blank for scaffold-style 1KP identifiers.
discovery_representative_sequence_length	7. Discovery provenance and cluster composition	Integer count	Amino-acid length of the discovery-cluster representative sequence.	Sequence length is a provenance/QC attribute, not a ranking score.
discovery_representative_sequence_md5	7. Discovery provenance and cluster composition	MD5 digest	MD5 digest of the representative amino-acid sequence.	Use to verify exact sequence identity independently of labels.
discovery_representative_source_path	7. Discovery provenance and cluster composition	Path text	Source file path recorded for the representative sequence.	Provenance path from the producing environment; it may not exist on another machine.
discovery_known_e3_sequence_count	7. Discovery provenance and cluster composition	Integer count	Number of known E3 seed sequences represented by discovery matches before seed-ID deduplication.	Sequence count can exceed unique seed count when several sequences map to one seed identifier.
discovery_known_e3_seed_count	7. Discovery provenance and cluster composition	Integer count	Number of unique known E3 seed identifiers associated with the cluster.	Unique seed count used for annotation-derived fractions.
discovery_known_e3_seed_ids	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Semicolon-delimited known E3 seed identifiers associated with the cluster.	Compact audit list; consult the seed authority for full annotations.
discovery_matched_seed_sequence_count	7. Discovery provenance and cluster composition	Integer count	Number of seed sequence records matched to the cluster under the discovery matching rules.	Counts sequence records, not necessarily unique seed identifiers.
discovery_matched_seed_id_count	7. Discovery provenance and cluster composition	Integer count	Number of unique seed identifiers matched to the cluster.	Denominator for several seed annotation summaries.
discovery_matched_seed_ids_calculated	7. Discovery provenance and cluster composition	Text	Semicolon-delimited unique seed identifiers calculated from the matched seed records.	Recomputed audit field used to verify annotated seed counts and IDs.
discovery_strict_matched_seed_sequence_count	7. Discovery provenance and cluster composition	Integer count	Number of matched seed sequences satisfying the strict discovery threshold.	Subset of matched_seed_sequence_count.
discovery_non_strict_matched_seed_sequence_count	7. Discovery provenance and cluster composition	Integer count	Number of matched seed sequences failing the strict discovery threshold but retained in raw evidence.	Retained for audit; not counted as strict support.
discovery_annotated_seed_id_count	7. Discovery provenance and cluster composition	Integer count	Number of matched unique seed identifiers with usable seed annotation.	Can be smaller than matched_seed_id_count when annotations are unavailable.
discovery_seed_category_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct seed categories represented among matched annotated seeds.	Category diversity descriptor, not a pass criterion by itself.
discovery_seed_categories	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Semicolon-delimited seed categories represented in the cluster.	Human-readable summary of seed-family evidence.
discovery_seed_review_statuses	7. Discovery provenance and cluster composition	Categorical status	Semicolon-delimited review-status values for matched seeds.	Mixed values can occur; reviewed_seed_fraction provides the numeric summary.
discovery_seed_ubiquitin_go_statuses	7. Discovery provenance and cluster composition	Categorical status	Semicolon-delimited ubiquitin-system GO support statuses for matched seeds.	Source values behind ubiquitin_go_positive_seed_fraction.
discovery_seed_organisms	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Semicolon-delimited source organisms of matched known E3 seeds.	Seed-organism diversity does not equal target-species coverage.
discovery_seed_protein_names	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Semicolon-delimited protein names of matched known E3 seeds.	Useful for biological interpretation; names are not stable join keys.
discovery_reviewed_seed_count	7. Discovery provenance and cluster composition	Integer count	Number of matched unique seed identifiers annotated as reviewed.	Numerator behind reviewed_seed_fraction.
discovery_ubiquitin_go_positive_seed_count	7. Discovery provenance and cluster composition	Integer count	Number of matched unique seed identifiers with positive ubiquitin-system GO support.	Numerator behind ubiquitin_go_positive_seed_fraction.
discovery_seed_with_exclusion_go_term_count	7. Discovery provenance and cluster composition	Integer count	Number of matched unique seeds carrying a configured exclusion-associated GO term.	Positive count contributes to exclusion_flag_fraction; inspect terms before biological conclusions.
discovery_raw_member_count	7. Discovery provenance and cluster composition	Integer count	Number of raw discovery-cluster member sequences before strict filtering.	Includes members that fail strict identity/coverage criteria.
discovery_strict_member_count	7. Discovery provenance and cluster composition	Integer count	Number of discovery-cluster members satisfying the strict matching criteria.	Subset of raw_member_count.
discovery_strict_nonseed_candidate_count	7. Discovery provenance and cluster composition	Integer count	Number of strict cluster members that are not known seed sequences and therefore form candidate evidence.	Candidate-sequence count, not unique species count.
discovery_strict_member_fraction	7. Discovery provenance and cluster composition	Fraction/score (0-1)	strict_member_count divided by raw_member_count.	Cluster purity/retention fraction under the strict filter.
discovery_strict_nonseed_fraction	7. Discovery provenance and cluster composition	Fraction/score (0-1)	strict_nonseed_candidate_count divided by raw_member_count.	Fraction of the raw cluster retained as strict non-seed candidate members.
discovery_raw_sample_count_reported	7. Discovery provenance and cluster composition	Text	Raw sample count reported by the discovery summary source.	Retained alongside the recalculated value to expose reporting discrepancies.
discovery_raw_species_count_reported	7. Discovery provenance and cluster composition	Text	Raw species count reported by the discovery summary source.	Retained alongside the recalculated value to expose reporting discrepancies.
discovery_raw_sample_count_calculated	7. Discovery provenance and cluster composition	Text	Distinct raw sample count recalculated from member records.	Use as the reproducible member-derived raw sample count.
discovery_raw_species_count_calculated	7. Discovery provenance and cluster composition	Text	Distinct raw species count recalculated from member records.	Use as the reproducible member-derived raw species count.
discovery_raw_onekp_sample_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct 1KP samples represented among raw members.	Source-specific coverage count before strict filtering.
discovery_raw_onekp_species_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct normalized 1KP species represented among raw members.	Source-specific species coverage before strict filtering.
discovery_raw_named_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct named proteomes represented among raw members.	Does not include 1KP samples without named proteome IDs.
discovery_raw_named_species_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct species from named proteomes represented among raw members.	Source-specific species coverage before strict filtering.
discovery_raw_named_proteome_ids	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Semicolon-delimited named proteome identifiers represented among raw members.	Compact provenance list before strict filtering.
discovery_raw_named_cereal_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named cereal proteomes represented among raw members.	Taxonomic coverage summary before strict filtering.
discovery_raw_named_solanaceae_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named Solanaceae proteomes represented among raw members.	Taxonomic coverage summary before strict filtering.
discovery_raw_named_legume_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named legume proteomes represented among raw members.	Taxonomic coverage summary before strict filtering.
discovery_raw_named_brassicaceae_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named Brassicaceae proteomes represented among raw members.	Taxonomic coverage summary before strict filtering.
discovery_strict_sample_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct samples represented after strict discovery filtering.	Post-filter sample coverage; compare with raw_sample_count_calculated.
discovery_strict_species_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct species represented after strict discovery filtering.	Post-filter species coverage; compare with raw_species_count_calculated.
discovery_strict_onekp_sample_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct 1KP samples represented after strict filtering.	Post-filter 1KP sample coverage.
discovery_strict_onekp_species_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct normalized 1KP species represented after strict filtering.	Post-filter 1KP species coverage.
discovery_strict_named_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct named proteomes represented after strict filtering.	Post-filter named-proteome coverage.
discovery_strict_named_species_count	7. Discovery provenance and cluster composition	Integer count	Number of distinct named-proteome species represented after strict filtering.	Post-filter named-species coverage.
discovery_strict_named_proteome_ids	7. Discovery provenance and cluster composition	Semicolon-delimited text list	Semicolon-delimited named proteome identifiers retained after strict filtering.	Compact post-filter provenance list.
discovery_strict_named_cereal_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named cereal proteomes retained after strict filtering.	Post-filter cereal coverage summary.
discovery_strict_named_solanaceae_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named Solanaceae proteomes retained after strict filtering.	Post-filter Solanaceae coverage summary.
discovery_strict_named_legume_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named legume proteomes retained after strict filtering.	Post-filter legume coverage summary.
discovery_strict_named_brassicaceae_proteome_count	7. Discovery provenance and cluster composition	Integer count	Number of configured named Brassicaceae proteomes retained after strict filtering.	Post-filter Brassicaceae coverage summary.
discovery_minimum_observed_pident	7. Discovery provenance and cluster composition	Percentage (0-100)	Minimum observed pairwise percent identity among discovery matches contributing to the cluster.	Reported in percentage points (0-100), not as a 0-1 fraction.
discovery_median_observed_pident	7. Discovery provenance and cluster composition	Percentage (0-100)	Median observed pairwise percent identity among discovery matches contributing to the cluster.	Reported in percentage points (0-100).
discovery_maximum_observed_pident	7. Discovery provenance and cluster composition	Percentage (0-100)	Maximum observed pairwise percent identity among discovery matches contributing to the cluster.	Reported in percentage points (0-100).
discovery_minimum_member_coverage	7. Discovery provenance and cluster composition	Percentage (0-100)	Minimum observed member-sequence alignment coverage among discovery matches contributing to the cluster.	Reported in percentage points (0-100), not as a 0-1 fraction.
discovery_median_member_coverage	7. Discovery provenance and cluster composition	Percentage (0-100)	Median member-sequence alignment coverage among discovery matches contributing to the cluster.	Reported in percentage points (0-100).
discovery_maximum_member_coverage	7. Discovery provenance and cluster composition	Percentage (0-100)	Maximum member-sequence alignment coverage among discovery matches contributing to the cluster.	Reported in percentage points (0-100).
orthofinder_group_member_count	8. Linked evidence and QC counts	Integer count	Number of normalized protein-member rows linked to the lead cluster's selected OrthoFinder group.	Row/member count; may exceed species count because a species can contribute multiple proteins.
orthofinder_group_species_count	8. Linked evidence and QC counts	Integer count	Number of distinct species represented among normalized members of the selected OrthoFinder group.	May include more species than the configured target subset.
domain_evidence_row_count	8. Linked evidence and QC counts	Integer count	Number of normalized domain-summary rows linked to the lead cluster.	A provenance/QC count, not a count of positive species.
expression_evidence_row_count	8. Linked evidence and QC counts	Integer count	Number of normalized candidate-expression summary rows linked to the lead cluster.	A linked evidence-row count, not the 32,981,864 tissue-context row count and not a support score.
selected_pocket_count	8. Linked evidence and QC counts	Integer count	Number of selected-pocket records linked to the lead cluster.	Counts primary selected pockets across assessed members; it is not member_pocket_top_k.
pocket_conservation_member_count	8. Linked evidence and QC counts	Integer count	Number of member-level pocket-conservation records linked to the lead cluster.	A processed member-record count; inspect structural_species_fraction for coverage.
